Contig length	Number of contigs in this category
0	0
100	0
200	392
300	264
400	177
500	142
600	108
700	96
800	89
900	66
1000	45
1100	39
1200	36
1300	30
1400	26
1500	30
1600	17
1700	18
1800	11
1900	15
2000	7
2100	12
2200	15
2300	6
2400	10
2500	13
2600	8
2700	3
2800	5
2900	1
3000	2
3100	6
3200	6
3300	4
3400	2
3500	1
3600	4
3700	1
3800	2
3900	2
4000	2
4100	2
4200	3
4300	0
4400	2
4500	0
4600	0
4700	2
4800	0
4900	0
5000	0
5100	0
5200	2
5300	0
5400	0
5500	0
5600	1
5700	0
5800	2
5900	0
6000	0
6100	0
6200	0
6300	0
6400	0
6500	0
6600	0
6700	0
6800	0
6900	0
7000	0
7100	1
7200	0
7300	0
7400	1
7500	0
*******************************
Contig Count:1729
Max contig length:7451
Min contig length:208
Total contig length:1380296
Average contig legth:750.3204164256796
Mean Depth Coverage:51.31578947368421
N50:1128
