Contig length	Number of contigs in this category
0	0
100	0
200	42
300	32
400	31
500	20
600	15
700	15
800	16
900	7
1000	7
1100	9
1200	13
1300	6
1400	8
1500	4
1600	4
1700	7
1800	6
1900	2
2000	2
2100	9
2200	1
2300	3
2400	3
2500	4
2600	2
2700	1
2800	4
2900	2
3000	0
3100	2
3200	3
3300	2
3400	2
3500	1
3600	2
3700	0
3800	1
3900	1
4000	0
4100	1
4200	2
4300	1
4400	2
4500	1
4600	0
4700	1
4800	1
4900	0
5000	0
5100	0
5200	1
5300	0
5400	1
5500	0
5600	0
5700	0
5800	0
5900	0
6000	0
6100	0
6200	1
6300	1
6400	0
6500	0
6600	0
6700	0
6800	0
6900	0
7000	0
7100	1
7200	1
7300	0
*******************************
Contig Count:304
Max contig length:7268
Min contig length:204
Total contig length:383143
Average contig legth:1212.3388157894738
Mean Depth Coverage:91.3092105263158
N50:2109
