Contig length	Number of contigs in this category
0	0
100	0
200	0
300	0
400	0
500	60
600	43
700	45
800	43
900	36
1000	27
1100	30
1200	32
1300	35
1400	27
1500	18
1600	17
1700	15
1800	18
1900	22
2000	11
2100	20
2200	5
2300	11
2400	8
2500	12
2600	4
2700	6
2800	9
2900	7
3000	6
3100	6
3200	4
3300	4
3400	4
3500	2
3600	4
3700	0
3800	1
3900	4
4000	2
4100	1
4200	1
4300	3
4400	4
4500	2
4600	0
4700	2
4800	2
4900	0
5000	1
5100	1
5200	2
5300	0
5400	2
5500	0
5600	0
5700	0
5800	0
5900	1
6000	0
6100	0
6200	2
6300	1
6400	0
6500	0
6600	0
6700	0
6800	0
6900	0
7000	0
7100	0
7200	1
7300	0
7400	0
7500	0
7600	1
7700	0
7800	0
7900	1
8000	0
8100	0
8200	0
8300	0
8400	0
8500	0
8600	0
8700	1
8800	0
8900	0
9000	0
9100	0
9200	0
9300	0
9400	0
9500	0
9600	0
9700	0
9800	0
9900	0
10000	0
10100	0
10200	0
10300	0
10400	1
10500	0
*******************************
Contig Count:628
Max contig length:10467
Min contig length:501
Total contig length:1030708
Average contig legth:1593.2547770700637
Mean Depth Coverage:49.24044585987261
N50:2013
